feed,title,link,published,summary,fetched_at
CNBC Business,Hedge funds made $24 billion shorting software stocks so far in 2026 — and they are increasing the bet,https://www.cnbc.com/2026/02/04/hedge-funds-made-24-billion-shorting-software-stocks-so-far-in-2026-and-they-are-increasing-the-bet.html,2026-02-04T22:20:22,"Hedge funds are increasing their short bets against software stocks, contributing to the brutal sell-off in the space so far this year, according to sources at two major funds on Wall Street.",2026-02-05T05:21:03.379178
ESPN News,Road to $1M paydays: How WNBA salaries evolved with each CBA,https://www.espn.com/wnba/story/_/id/47813218/wnba-cba-collective-bargaining-agreement-negotiations-salary-cap,2026-02-04T22:06:45,"For the first time, a $1 million base salary is expected in the new WNBA CBA, and the cap could see a 230% increase.",2026-02-05T05:21:04.500991
BBC World,"Fearing Russia will seize her town, war widow moves husband's grave to Kyiv",https://www.bbc.com/news/articles/cvgr25e2lj5o?at_medium=RSS&at_campaign=rss,2026-02-04T21:59:59,Russia's gains on the battlefield have forced Natalia to rebury her husband in Kyiv.,2026-02-05T05:21:00.591598
TechCrunch,Elon Musk’s SpaceX company town is getting a police department,https://techcrunch.com/2026/02/04/elon-musks-spacex-company-town-is-getting-a-police-department/,2026-02-04T21:47:41,The new department will have up to eight police officers and could be up and running in a few months.,2026-02-05T05:21:02.427708
TechCrunch,"Meet Gizmo: A TikTok for interactive, vibe-coded mini apps",https://techcrunch.com/2026/02/04/meet-gizmo-a-tiktok-for-interactive-vibe-coded-mini-apps/,2026-02-04T21:45:32,Gizmo's app is like a TikTok for vibe-coded mini apps... and it's a lot of fun.,2026-02-05T05:21:02.427708
TechCrunch,"AI SRE Resolve AI confirms $125M raise, unicorn valuation",https://techcrunch.com/2026/02/04/ai-sre-resolve-ai-confirms-125m-raise-unicorn-valuation/,2026-02-04T21:39:26,The two-year-old startup confirms that it closed a Series A led by Lightspeed at $1 billion valuation.,2026-02-05T05:21:02.427708
TechCrunch,Amazon to begin testing AI tools for film and TV production next month,https://techcrunch.com/2026/02/04/amazon-to-begin-testing-ai-tools-for-film-and-tv-production-next-month/,2026-02-04T21:26:43,Amazon MGM Studios will reportedly begin a closed beta program in March to test its AI tools to help with film and TV production.,2026-02-05T05:21:02.427708
CNBC Business,"AMD falls 17%, posts worst day since 2017 as Lisa Su addresses guidance concerns",https://www.cnbc.com/2026/02/04/amd-lisa-su-ai-demand-guidance-earnings.html,2026-02-04T21:22:50,"The CEO said that the data center business has risen from the fourth to first quarter and demand for the company's CPUs is ""going gangbusters.""",2026-02-05T05:21:03.379178
CNBC Business,Eli Lilly's GLP-1 growth is only getting started as Novo Nordisk braces for a decline in 2026,https://www.cnbc.com/2026/02/04/eli-lilly-novo-nordisk-earnings-glp1-market.html,2026-02-04T21:05:25,"The split in outlook underscores Lilly's strong position in the obesity market, underpinned by more effective drugs and its direct-to-consumer sales strategy.",2026-02-05T05:21:03.379178
CNBC Business,Oil prices jump after Trump says Iran supreme leader 'should be very worried',https://www.cnbc.com/2026/02/04/oil-prices-jump-on-report-us-iran-nuclear-talks-are-collapsing.html,2026-02-04T21:02:29,President Donald Trump has threatened to launch military strikes on Iran if the Islamic Republic doesn't agree to a deal on its nuclear program.,2026-02-05T05:21:03.379178
CNBC Business,"Older workers with student loan debt have less saved for retirement, Fidelity finds",https://www.cnbc.com/2026/02/04/student-loan-debt-retirement-savings.html,2026-02-04T20:47:16,"Older workers with student debt have much smaller retirement account balances than their peers without the loans, a Fidelity report shows.",2026-02-05T05:21:03.379178
CNBC Business,Amazon CEO Andy Jassy picks marketplace exec to be his new 'shadow' advisor,https://www.cnbc.com/2026/02/04/amazon-jassy-new-shadow-advisor-dharmesh-mehta.html,2026-02-04T20:45:10,Jassy was Jeff Bezos' shadow in the early 2000s before going on to lead Amazon Web Services.,2026-02-05T05:21:03.379178
CNBC Business,"Terrell Owens calls Hall of Fame process 'broken' after Belichick, Kraft snubs",https://www.cnbc.com/2026/02/04/nfl-hall-of-fame-terrell-owens-on-bill-belichick-robert-kraft-snubs.html,2026-02-04T20:42:52,Terrell Owens weighed in on the exclusion of Bill Belichick and Robert Kraft from the Pro Football Hall of Fame.,2026-02-05T05:21:03.379178
TechCrunch,A16z just raised $1.7B for AI infrastructure. Here’s where it’s going.,https://techcrunch.com/video/a16z-just-raised-1-7b-for-ai-infrastructure-heres-where-its-going/,2026-02-04T20:24:12,"Andreessen Horowitz just raised&#160;a whopping&#160;⁠new&#160;$15 billion&#160;in funding⁠.&#160;And a&#160;$1.7 billion&#160;chunk&#160;of that is going to&#160;its&#160;⁠infrastructure&#160;team⁠,&#160;the one responsible for some of its biggest, most prominent&#160;AI investments including&#160;Black Forrest Labs, Cursor, OpenAI,&#160;⁠ElevenLabs⁠, Ideogram,&#160;⁠Fal⁠&#160;and dozens of others.&#160;&#160; A16z&#160;⁠general partner&#160;with the infra team Jennifer Li⁠&#160;(who oversees such&#160;investments&#160;as&#160;ElevenLabs&#160;– just valued at&#160;$11 billion);&#160;Ideagram&#160;and Fal, has a clear thesis on where&#160;the team is looking [&#8230;]",2026-02-05T05:21:02.427708
ESPN News,"Who you calling old? At the 2026 Olympics, age is just a number",https://www.espn.com/olympics/story/_/id/47809045/2026-winter-olympics-vonn-kenworthy-goepper-schaffrick-comebacks,2026-02-04T20:21:41,"Lindsey Vonn, Nick Goepper, Gus Kenworthy and Maddy Schaffrick are in their golden years at the 2026 Olympics. Just don't call them old.",2026-02-05T05:21:04.500991
ESPN News,How Laila Edwards carved her own path as USA Hockey's first Black player,https://www.espn.com/olympics/story/_/id/47792766/laila-edwards-2026-milan-cortina-winter-olympics-team-usa-women-hockey,2026-02-04T20:21:41,"Laila Edwards, a standout at Wisconsin, is ready for her Olympic debut as USA Hockey's first Black player.",2026-02-05T05:21:04.500991
ESPN News,High school stories of 11 Super Bowl stars -- and two coaches,https://www.espn.com/nfl/story/_/id/47809447/2026-super-bowl-new-england-patriots-seattle-seahawks-drake-maye-sam-darnold,2026-02-04T20:21:07,"Find out what Sam Darnold, Drake Maye, Cooper Kupp, TreVeyon Henderson and others were like before the NFL.",2026-02-05T05:21:04.500991
ESPN News,"How to bet the WM Phoenix Open: Target these Maverick McNealy, Si Woo Kim props",https://www.espn.com/espn/betting/story/_/id/47822343/golf-pga-tour-betting-2026-wm-phoenix-open,2026-02-04T20:10:03,"The fourth stop of the PGA Tour season brings us to Scottsdale, where we can expect to see plenty of birdies at the WM Phoenix Open.",2026-02-05T05:21:04.500991
BBC World,Church fresco resembling Italian PM has face scrubbed out,https://www.bbc.com/news/articles/cx2peyjzgl3o?at_medium=RSS&at_campaign=rss,2026-02-04T20:04:47,"The artist who painted the cherub has admitted it was Giorgia Meloni's face, as the Rome church sees a steady flow of curious visitors.",2026-02-05T05:21:00.591598
ESPN News,Christian Gonzalez vs. JSN? Will Campbell vs. DeMarcus Lawrence? Sorting five key Super Bowl matchups,https://www.espn.com/nfl/story/_/id/47809043/super-bowl-lx-2026-seahawks-patriots-player-matchups-matter-solak,2026-02-04T19:45:29,Can Christian Gonzalez contain Jaxon Smith-Njigba? Will DeMarcus Lawrence get the best of Will Campbell? Here are five matchups that will matter Sunday.,2026-02-05T05:21:04.500991
ESPN News,Our full list of Super Bowl LX picks: 58 experts predict the final score of Seahawks-Patriots,https://www.espn.com/nfl/story/_/id/47768202/super-bowl-2026-predictions-experts-pick-seahawks-patriots-score-mvp,2026-02-04T19:45:29,Will the Seahawks or Patriots win? Who will be the MVP? Our analysts and reporters make their predictions.,2026-02-05T05:21:04.500991
CNBC Business,"Bitcoin bleeds for second straight day, nearly grazes $72,000",https://www.cnbc.com/2026/02/04/bitcoin-bleeds-for-second-straight-day-nearly-grazes-72000.html,2026-02-04T19:27:25,"Bitcoin sank as low as $72,096.20 on Wednesday, marking its second consecutive day breaking below the $73,000 level.",2026-02-05T05:21:03.379178
CNBC Business,Senate Banking Chair Tim Scott believes Fed Chair Powell committed no crime in testimony,https://www.cnbc.com/2026/02/04/scott-trump-powell-fed-warsh-tillis-doj.html,2026-02-04T19:12:47,"President Donald Trump recently said the investigation into Jerome Powell, led by U.S. Attorney for Washington Jeanine Pirro, should continue to the end.",2026-02-05T05:21:03.379178
BBC World,Fears of new arms race as US-Russia nuclear weapons treaty due to expire,https://www.bbc.com/news/articles/c4g31n4ey9go?at_medium=RSS&at_campaign=rss,2026-02-04T18:39:22,The New Start treaty has limited the number of deployed strategic nuclear warheads for both countries.,2026-02-05T05:21:00.591598
ESPN News,NBA Power Rankings: Where all 30 teams stack up ahead of trade deadline,https://www.espn.com/nba/story/_/id/47809739/nba-power-rankings-all-30-teams-player-most-pressure-trade-deadline-giannis-harden-green,2026-02-04T18:36:32,Which players are under the most pressure and where all 30 teams rank a day before the Thursday trade deadline.,2026-02-05T05:21:04.500991
CNBC Business,"Get the first look at the R2, Rivian's $45,000 SUV. CEO RJ Scaringe gave CNBC an early peek",https://www.cnbc.com/2026/02/04/rivian-r2-suv-rj-scaringe.html,2026-02-04T18:33:13,"Rivian's R2 promises to be the vehicle that will do for Rivian what the Model Y did for Tesla. But first, the company has to launch it.",2026-02-05T05:21:03.379178
BBC World,How plans for Trump International hotel in Belgrade unravelled,https://www.bbc.com/news/articles/cx2y8lg9e2jo?at_medium=RSS&at_campaign=rss,2026-02-04T18:14:19,The project would have built on the ruins of the defence ministry bombed by Nato back in 1999.,2026-02-05T05:21:00.591598
TechCrunch,Tinder looks to AI to help fight ‘swipe fatigue’ and dating app burnout,https://techcrunch.com/2026/02/04/tinder-looks-to-ai-to-help-fight-swipe-fatigue-and-dating-app-burnout/,2026-02-04T18:08:00,Tinder is testing AI recommendations and insight from your Camera Roll for better matches.,2026-02-05T05:21:02.427708
BBC World,"Andrew and Epstein asked exotic dancer for 'sex acts,' legal letter claims",https://www.bbc.com/news/articles/ckgkjj5e28ko?at_medium=RSS&at_campaign=rss,2026-02-04T18:02:50,Lawyers for the unnamed woman claim she was 'treated like a prostitute' at Jeffrey Epstein's home.,2026-02-05T05:21:00.591598
BBC World,Man sentenced to life in prison for 2024 attempt on Trump's life,https://www.bbc.com/news/articles/cre2gjj3pxpo?at_medium=RSS&at_campaign=rss,2026-02-04T17:57:05,"Prosecutors claimed that Routh, 59, remained ""totally unrepentant"" for the incident in Florida.",2026-02-05T05:21:00.591598
